ST_ID,LATITUDE,LONGITUDE
368,59.4404,24.7377
369,59.4148,24.7409
370,59.4851,24.9344
371,59.4851,24.9344
372,59.4150,24.7409
373,59.4665,24.9688
374,59.4665,24.9688
375,59.4012,24.9329
378,59.3663,25.1787
380,59.3390,25.3271
383,59.2853,25.6117
387,59.2546,25.8200
388,59.3575,26.3651
389,59.3388,26.1517
390,59.3575,26.3651
393,59.3488,26.8416
394,59.3515,26.9584
395,59.3585,27.0583
396,59.3999,27.2610
397,59.3567,27.4047
398,59.3763,27.5841
399,59.3728,27.7734
400,59.3639,27.9283
401,59.3687,28.0631
402,59.3717,28.1655
403,59.3717,28.1655
404,59.1628,26.1084
406,58.9892,26.2441
413,58.5547,26.5900
415,58.4665,26.6601
418,58.3761,26.7038
421,58.2727,26.7715
429,58.0694,27.0928
432,58.0040,27.3561
434,57.9195,27.4715
437,57.8389,27.4732
444,57.8269,27.0298
449,57.8282,26.5362
455,58.2247,26.4239
464,58.1307,26.3282
467,58.0516,26.2395
470,57.9469,26.2402
472,57.8628,26.1895
474,57.7746,26.0553
475,57.7541,26.0027
478,57.7552,26.0040
479,57.6334,25.6944
481,57.5196,25.4366
483,57.3851,25.4100
485,57.3102,25.2794
487,57.1964,25.1683
490,57.7746,26.0553
501,57.1853,26.7657
512,55.4705,37.5554
513,55.5102,37.5622
514,55.5712,37.6115
515,55.5898,37.6151
516,55.6030,37.6321
517,55.6185,37.6688
518,55.6404,37.6891
519,55.6614,37.7170
520,55.6741,37.7280
521,55.7457,37.6883
522,55.7576,37.6615
523,55.7761,37.6517
525,55.7995,37.5987
526,55.7954,37.5891
527,54.8575,38.1893
528,54.8303,38.2437
529,54.8696,38.1430
530,54.8575,38.1893
531,54.8732,38.1194
532,54.9087,38.0793
533,54.9447,38.0523
534,54.9865,38.0310
535,55.0626,37.9883
536,55.2127,38.5790
537,55.2656,38.6619
538,55.1881,38.5279
539,55.1780,38.4808
540,55.1681,38.4344
541,55.1484,38.4123
542,55.1298,38.3790
543,55.1022,38.3264
544,55.0923,38.2770
545,55.2729,38.6742
546,55.0586,38.1511
547,55.0278,38.0922
548,55.0044,38.0533
549,55.1214,37.9605
550,55.1181,38.0316
551,55.1163,38.0935
552,55.1223,38.1657
553,55.1099,38.2122
554,55.1546,37.8968
555,55.1725,37.8408
556,55.1787,37.7934
557,55.2697,37.8959
558,55.3114,37.8705
559,55.2046,37.9211
560,55.1697,37.9383
561,55.3335,37.8507
562,55.3824,37.8147
563,55.3947,37.8056
564,55.4394,37.7733
565,55.4890,37.7308
566,55.5168,37.7079
567,55.5483,37.6859
568,55.5663,37.6680
569,55.5818,37.6597
570,55.4219,37.8352
571,55.4296,37.8803
572,55.4151,37.8968
